topic1,topic2,jsd
atheism-atheist,forced-treatment,0.399
atheism-atheist,freedom-of-religion-religious-freedom-religious-liberty,0.318
atheism-atheist,gun-control,0.387
atheism-atheist,gun-rights,0.416
atheism-atheist,gun-violence,0.346
atheism-atheist,inequality-inequity,0.337
atheism-atheist,libertarianism-libertarian-party,0.405
atheism-atheist,marijuana,0.402
atheism-atheist,mental-health,0.372
atheism-atheist,national-defense-national-security,0.389
atheism-atheist,patriotism-patriotic-patriot,0.32
atheism-atheist,police-brutality,0.396
atheism-atheist,religion-religious,0.235
atheism-atheist,school-choice,0.395
atheism-atheist,scientific,0.437
atheism-atheist,social-justice,0.347
atheism-atheist,social-responsibility,0.33
atheism-atheist,stereotypes,0.313
biblical,big-food,0.444
biblical,big-pharma,0.448
biblical,birth-control,0.359
biblical,black-lives-matter,0.356
biblical,capital-punishment-death-penalty,0.37
biblical,capitalism,0.391
biblical,civil-rights,0.367
biblical,civil-society,0.372
biblical,color-blindness,0.371
biblical,common-core,0.397
biblical,conservative,0.291
biblical,conversion-therapy-reparative-therapy,0.377
biblical,discrimination,0.349
biblical,environmentalist-environmentalism,0.37
biblical,equality,0.326
biblical,filter-bubble,0.43
biblical,forced-treatment,0.431
biblical,freedom-of-religion-religious-freedom-religious-liberty,0.358
biblical,gun-control,0.41
biblical,gun-rights,0.432
biblical,gun-violence,0.382
biblical,inequality-inequity,0.36
biblical,libertarianism-libertarian-party,0.426
biblical,marijuana,0.427
biblical,mental-health,0.391
biblical,national-defense-national-security,0.395
biblical,patriotism-patriotic-patriot,0.345
biblical,police-brutality,0.419
biblical,religion-religious,0.196
biblical,school-choice,0.42
biblical,scientific,0.46
biblical,social-justice,0.374
biblical,social-responsibility,0.336
biblical,stereotypes,0.356
big-food,big-pharma,0.16
big-food,birth-control,0.411
big-food,black-lives-matter,0.41
big-food,capital-punishment-death-penalty,0.428
big-food,capitalism,0.275
big-food,civil-rights,0.421
big-food,civil-society,0.362
big-food,color-blindness,0.401
big-food,common-core,0.377
big-food,conservative,0.372
big-food,conversion-therapy-reparative-therapy,0.397
big-food,discrimination,0.412
big-food,environmentalist-environmentalism,0.361
big-food,equality,0.337
big-food,filter-bubble,0.39
big-food,forced-treatment,0.372
big-food,freedom-of-religion-religious-freedom-religious-liberty,0.442
big-food,gun-control,0.393
big-food,gun-rights,0.473
big-food,gun-violence,0.4
big-food,inequality-inequity,0.41
big-food,libertarianism-libertarian-party,0.355
big-food,marijuana,0.362
big-food,mental-health,0.402
big-food,national-defense-national-security,0.353
big-food,patriotism-patriotic-patriot,0.405
big-food,police-brutality,0.431
big-food,religion-religious,0.404
big-food,school-choice,0.396
big-food,scientific,0.427
big-food,social-justice,0.379
big-food,social-responsibility,0.341
big-food,stereotypes,0.413
big-pharma,birth-control,0.402
big-pharma,black-lives-matter,0.405
big-pharma,capital-punishment-death-penalty,0.416
big-pharma,capitalism,0.28
big-pharma,civil-rights,0.416
big-pharma,civil-society,0.365
big-pharma,color-blindness,0.403
big-pharma,common-core,0.379
big-pharma,conservative,0.368
big-pharma,conversion-therapy-reparative-therapy,0.402
big-pharma,discrimination,0.41
big-pharma,environmentalist-environmentalism,0.377
big-pharma,equality,0.331
big-pharma,filter-bubble,0.402
big-pharma,forced-treatment,0.356
big-pharma,freedom-of-religion-religious-freedom-religious-liberty,0.439
big-pharma,gun-control,0.387
big-pharma,gun-rights,0.468
big-pharma,gun-violence,0.402
big-pharma,inequality-inequity,0.401
big-pharma,libertarianism-libertarian-party,0.358
big-pharma,marijuana,0.363
big-pharma,mental-health,0.387
big-pharma,national-defense-national-security,0.36
big-pharma,patriotism-patriotic-patriot,0.413
big-pharma,police-brutality,0.415
big-pharma,religion-religious,0.411
big-pharma,school-choice,0.388
big-pharma,scientific,0.41
big-pharma,social-justice,0.368
big-pharma,social-responsibility,0.332
big-pharma,stereotypes,0.415
birth-control,black-lives-matter,0.349
birth-control,capital-punishment-death-penalty,0.361
birth-control,capitalism,0.351
birth-control,civil-rights,0.346
birth-control,civil-society,0.368
birth-control,color-blindness,0.362
birth-control,common-core,0.358
birth-control,conservative,0.341
birth-control,conversion-therapy-reparative-therapy,0.311
birth-control,discrimination,0.334
birth-control,environmentalist-environmentalism,0.377
birth-control,equality,0.275
birth-control,filter-bubble,0.369
birth-control,forced-treatment,0.356
birth-control,freedom-of-religion-religious-freedom-religious-liberty,0.354
birth-control,gun-control,0.342
birth-control,gun-rights,0.402
birth-control,gun-violence,0.335
birth-control,inequality-inequity,0.35
birth-control,libertarianism-libertarian-party,0.381
birth-control,marijuana,0.306
birth-control,mental-health,0.312
birth-control,national-defense-national-security,0.359
birth-control,patriotism-patriotic-patriot,0.383
birth-control,police-brutality,0.397
birth-control,religion-religious,0.313
birth-control,school-choice,0.322
birth-control,scientific,0.427
birth-control,social-justice,0.353
birth-control,social-responsibility,0.315
birth-control,stereotypes,0.346
black-lives-matter,capital-punishment-death-penalty,0.336
black-lives-matter,capitalism,0.352
black-lives-matter,civil-rights,0.26
black-lives-matter,civil-society,0.336
black-lives-matter,color-blindness,0.269
black-lives-matter,common-core,0.363
black-lives-matter,conservative,0.315
black-lives-matter,conversion-therapy-reparative-therapy,0.324
black-lives-matter,discrimination,0.263
black-lives-matter,environmentalist-environmentalism,0.355
black-lives-matter,equality,0.236
black-lives-matter,filter-bubble,0.401
black-lives-matter,forced-treatment,0.353
black-lives-matter,freedom-of-religion-religious-freedom-religious-liberty,0.347
black-lives-matter,gun-control,0.374
black-lives-matter,gun-rights,0.412
black-lives-matter,gun-violence,0.351
black-lives-matter,inequality-inequity,0.299
black-lives-matter,libertarianism-libertarian-party,0.38
black-lives-matter,marijuana,0.385
black-lives-matter,mental-health,0.352
black-lives-matter,national-defense-national-security,0.356
black-lives-matter,patriotism-patriotic-patriot,0.34
black-lives-matter,police-brutality,0.318
black-lives-matter,religion-religious,0.307
black-lives-matter,school-choice,0.366
black-lives-matter,scientific,0.436
black-lives-matter,social-justice,0.292
black-lives-matter,social-responsibility,0.303
black-lives-matter,stereotypes,0.345
capital-punishment-death-penalty,capitalism,0.383
capital-punishment-death-penalty,civil-rights,0.337
capital-punishment-death-penalty,civil-society,0.379
capital-punishment-death-penalty,color-blindness,0.358
capital-punishment-death-penalty,common-core,0.402
capital-punishment-death-penalty,conservative,0.349
capital-punishment-death-penalty,conversion-therapy-reparative-therapy,0.344
capital-punishment-death-penalty,discrimination,0.337
capital-punishment-death-penalty,environmentalist-environmentalism,0.387
capital-punishment-death-penalty,equality,0.292
capital-punishment-death-penalty,filter-bubble,0.415
capital-punishment-death-penalty,forced-treatment,0.381
capital-punishment-death-penalty,freedom-of-religion-religious-freedom-religious-liberty,0.368
capital-punishment-death-penalty,gun-control,0.335
capital-punishment-death-penalty,gun-rights,0.383
capital-punishment-death-penalty,gun-violence,0.327
capital-punishment-death-penalty,inequality-inequity,0.347
capital-punishment-death-penalty,libertarianism-libertarian-party,0.393
capital-punishment-death-penalty,marijuana,0.38
capital-punishment-death-penalty,mental-health,0.367
capital-punishment-death-penalty,national-defense-national-security,0.375
capital-punishment-death-penalty,patriotism-patriotic-patriot,0.365
capital-punishment-death-penalty,police-brutality,0.379
capital-punishment-death-penalty,religion-religious,0.35
capital-punishment-death-penalty,school-choice,0.384
capital-punishment-death-penalty,scientific,0.431
capital-punishment-death-penalty,social-justice,0.349
capital-punishment-death-penalty,social-responsibility,0.327
capital-punishment-death-penalty,stereotypes,0.372
capitalism,civil-rights,0.354
capitalism,civil-society,0.288
capitalism,color-blindness,0.321
capitalism,common-core,0.332
capitalism,conservative,0.277
capitalism,conversion-therapy-reparative-therapy,0.338
capitalism,discrimination,0.355
capitalism,environmentalist-environmentalism,0.326
capitalism,equality,0.241
capitalism,filter-bubble,0.389
capitalism,forced-treatment,0.316
capitalism,freedom-of-religion-religious-freedom-religious-liberty,0.383
capitalism,gun-control,0.353
capitalism,gun-rights,0.411
capitalism,gun-violence,0.361
capitalism,inequality-inequity,0.316
capitalism,libertarianism-libertarian-party,0.304
capitalism,marijuana,0.317
capitalism,mental-health,0.342
capitalism,national-defense-national-security,0.278
capitalism,patriotism-patriotic-patriot,0.322
capitalism,police-brutality,0.4
capitalism,religion-religious,0.347
capitalism,school-choice,0.331
capitalism,scientific,0.418
capitalism,social-justice,0.289
capitalism,social-responsibility,0.261
capitalism,stereotypes,0.363
civil-rights,civil-society,0.342
civil-rights,color-blindness,0.297
civil-rights,common-core,0.377
civil-rights,conservative,0.314
civil-rights,conversion-therapy-reparative-therapy,0.278
civil-rights,discrimination,0.289
civil-rights,environmentalist-environmentalism,0.361
civil-rights,equality,0.243
civil-rights,filter-bubble,0.404
civil-rights,forced-treatment,0.347
civil-rights,freedom-of-religion-religious-freedom-religious-liberty,0.314
civil-rights,gun-control,0.36
civil-rights,gun-rights,0.36
civil-rights,gun-violence,0.368
civil-rights,inequality-inequity,0.329
civil-rights,libertarianism-libertarian-party,0.38
civil-rights,marijuana,0.39
civil-rights,mental-health,0.35
civil-rights,national-defense-national-security,0.352
civil-rights,patriotism-patriotic-patriot,0.343
civil-rights,police-brutality,0.377
civil-rights,religion-religious,0.323
civil-rights,school-choice,0.352
civil-rights,scientific,0.424
civil-rights,social-justice,0.331
civil-rights,social-responsibility,0.316
civil-rights,stereotypes,0.358
civil-society,color-blindness,0.332
civil-society,common-core,0.35
civil-society,conservative,0.308
civil-society,conversion-therapy-reparative-therapy,0.351
civil-society,discrimination,0.316
civil-society,environmentalist-environmentalism,0.354
civil-society,equality,0.268
civil-society,filter-bubble,0.361
civil-society,forced-treatment,0.325
civil-society,freedom-of-religion-religious-freedom-religious-liberty,0.362
civil-society,gun-control,0.38
civil-society,gun-rights,0.415
civil-society,gun-violence,0.358
civil-society,inequality-inequity,0.337
civil-society,libertarianism-libertarian-party,0.327
civil-society,marijuana,0.356
civil-society,mental-health,0.35
civil-society,national-defense-national-security,0.308
civil-society,patriotism-patriotic-patriot,0.313
civil-society,police-brutality,0.367
civil-society,religion-religious,0.332
civil-society,school-choice,0.359
civil-society,scientific,0.436
civil-society,social-justice,0.272
civil-society,social-responsibility,0.298
civil-society,stereotypes,0.36
color-blindness,common-core,0.322
color-blindness,conservative,0.328
color-blindness,conversion-therapy-reparative-therapy,0.325
color-blindness,discrimination,0.278
color-blindness,environmentalist-environmentalism,0.367
color-blindness,equality,0.238
color-blindness,filter-bubble,0.395
color-blindness,forced-treatment,0.34
color-blindness,freedom-of-religion-religious-freedom-religious-liberty,0.357
color-blindness,gun-control,0.392
color-blindness,gun-rights,0.421
color-blindness,gun-violence,0.36
color-blindness,inequality-inequity,0.327
color-blindness,libertarianism-libertarian-party,0.391
color-blindness,marijuana,0.388
color-blindness,mental-health,0.342
color-blindness,national-defense-national-security,0.365
color-blindness,patriotism-patriotic-patriot,0.333
color-blindness,police-brutality,0.381
color-blindness,religion-religious,0.318
color-blindness,school-choice,0.335
color-blindness,scientific,0.442
color-blindness,social-justice,0.31
color-blindness,social-responsibility,0.314
color-blindness,stereotypes,0.298
common-core,conservative,0.358
common-core,conversion-therapy-reparative-therapy,0.361
common-core,discrimination,0.354
common-core,environmentalist-environmentalism,0.412
common-core,equality,0.276
common-core,filter-bubble,0.379
common-core,forced-treatment,0.373
common-core,freedom-of-religion-religious-freedom-religious-liberty,0.376
common-core,gun-control,0.386
common-core,gun-rights,0.443
common-core,gun-violence,0.389
common-core,inequality-inequity,0.358
common-core,libertarianism-libertarian-party,0.386
common-core,marijuana,0.362
common-core,mental-health,0.358
common-core,national-defense-national-security,0.352
common-core,patriotism-patriotic-patriot,0.368
common-core,police-brutality,0.411
common-core,religion-religious,0.366
common-core,school-choice,0.27
common-core,scientific,0.42
common-core,social-justice,0.367
common-core,social-responsibility,0.327
common-core,stereotypes,0.341
conservative,conversion-therapy-reparative-therapy,0.334
conservative,discrimination,0.322
conservative,environmentalist-environmentalism,0.283
conservative,equality,0.259
conservative,filter-bubble,0.391
conservative,forced-treatment,0.363
conservative,freedom-of-religion-religious-freedom-religious-liberty,0.346
conservative,gun-control,0.355
conservative,gun-rights,0.394
conservative,gun-violence,0.355
conservative,inequality-inequity,0.293
conservative,libertarianism-libertarian-party,0.326
conservative,marijuana,0.348
conservative,mental-health,0.35
conservative,national-defense-national-security,0.287
conservative,patriotism-patriotic-patriot,0.25
conservative,police-brutality,0.388
conservative,religion-religious,0.281
conservative,school-choice,0.36
conservative,scientific,0.413
conservative,social-justice,0.298
conservative,social-responsibility,0.224
conservative,stereotypes,0.346
conversion-therapy-reparative-therapy,discrimination,0.323
conversion-therapy-reparative-therapy,environmentalist-environmentalism,0.365
conversion-therapy-reparative-therapy,equality,0.269
conversion-therapy-reparative-therapy,filter-bubble,0.373
conversion-therapy-reparative-therapy,forced-treatment,0.292
conversion-therapy-reparative-therapy,freedom-of-religion-religious-freedom-religious-liberty,0.323
conversion-therapy-reparative-therapy,gun-control,0.344
conversion-therapy-reparative-therapy,gun-rights,0.373
conversion-therapy-reparative-therapy,gun-violence,0.341
conversion-therapy-reparative-therapy,inequality-inequity,0.341
conversion-therapy-reparative-therapy,libertarianism-libertarian-party,0.384
conversion-therapy-reparative-therapy,marijuana,0.298
conversion-therapy-reparative-therapy,mental-health,0.284
conversion-therapy-reparative-therapy,national-defense-national-security,0.348
conversion-therapy-reparative-therapy,patriotism-patriotic-patriot,0.352
conversion-therapy-reparative-therapy,police-brutality,0.391
conversion-therapy-reparative-therapy,religion-religious,0.32
conversion-therapy-reparative-therapy,school-choice,0.33
conversion-therapy-reparative-therapy,scientific,0.41
conversion-therapy-reparative-therapy,social-justice,0.343
conversion-therapy-reparative-therapy,social-responsibility,0.311
conversion-therapy-reparative-therapy,stereotypes,0.338
discrimination,environmentalist-environmentalism,0.368
discrimination,equality,0.22
discrimination,filter-bubble,0.376
discrimination,forced-treatment,0.344
discrimination,freedom-of-religion-religious-freedom-religious-liberty,0.306
discrimination,gun-control,0.362
discrimination,gun-rights,0.384
discrimination,gun-violence,0.321
discrimination,inequality-inequity,0.3
discrimination,libertarianism-libertarian-party,0.356
discrimination,marijuana,0.352
discrimination,mental-health,0.349
discrimination,national-defense-national-security,0.364
discrimination,patriotism-patriotic-patriot,0.328
discrimination,police-brutality,0.327
discrimination,religion-religious,0.307
discrimination,school-choice,0.356
discrimination,scientific,0.431
discrimination,social-justice,0.26
discrimination,social-responsibility,0.299
discrimination,stereotypes,0.272
environmentalist-environmentalism,equality,0.313
environmentalist-environmentalism,filter-bubble,0.396
environmentalist-environmentalism,forced-treatment,0.373
environmentalist-environmentalism,freedom-of-religion-religious-freedom-religious-liberty,0.403
environmentalist-environmentalism,gun-control,0.388
environmentalist-environmentalism,gun-rights,0.408
environmentalist-environmentalism,gun-violence,0.38
environmentalist-environmentalism,inequality-inequity,0.36
environmentalist-environmentalism,libertarianism-libertarian-party,0.382
environmentalist-environmentalism,marijuana,0.373
environmentalist-environmentalism,mental-health,0.364
environmentalist-environmentalism,national-defense-national-security,0.34
environmentalist-environmentalism,patriotism-patriotic-patriot,0.333
environmentalist-environmentalism,police-brutality,0.419
environmentalist-environmentalism,religion-religious,0.347
environmentalist-environmentalism,school-choice,0.406
environmentalist-environmentalism,scientific,0.45
environmentalist-environmentalism,social-justice,0.356
environmentalist-environmentalism,social-responsibility,0.312
environmentalist-environmentalism,stereotypes,0.399
equality,filter-bubble,0.335
equality,forced-treatment,0.289
equality,freedom-of-religion-religious-freedom-religious-liberty,0.29
equality,gun-control,0.3
equality,gun-rights,0.348
equality,gun-violence,0.297
equality,inequality-inequity,0.227
equality,libertarianism-libertarian-party,0.294
equality,marijuana,0.28
equality,mental-health,0.293
equality,national-defense-national-security,0.276
equality,patriotism-patriotic-patriot,0.288
equality,police-brutality,0.325
equality,religion-religious,0.272
equality,school-choice,0.265
equality,scientific,0.395
equality,social-justice,0.216
equality,social-responsibility,0.213
equality,stereotypes,0.264
filter-bubble,forced-treatment,0.385
filter-bubble,freedom-of-religion-religious-freedom-religious-liberty,0.406
filter-bubble,gun-control,0.394
filter-bubble,gun-rights,0.428
filter-bubble,gun-violence,0.393
filter-bubble,inequality-inequity,0.395
filter-bubble,libertarianism-libertarian-party,0.384
filter-bubble,marijuana,0.331
filter-bubble,mental-health,0.374
filter-bubble,national-defense-national-security,0.388
filter-bubble,patriotism-patriotic-patriot,0.405
filter-bubble,police-brutality,0.417
filter-bubble,religion-religious,0.384
filter-bubble,school-choice,0.381
filter-bubble,scientific,0.416
filter-bubble,social-justice,0.38
filter-bubble,social-responsibility,0.345
filter-bubble,stereotypes,0.381
forced-treatment,freedom-of-religion-religious-freedom-religious-liberty,0.386
forced-treatment,gun-control,0.368
forced-treatment,gun-rights,0.424
forced-treatment,gun-violence,0.382
forced-treatment,inequality-inequity,0.357
forced-treatment,libertarianism-libertarian-party,0.38
forced-treatment,marijuana,0.291
forced-treatment,mental-health,0.247
forced-treatment,national-defense-national-security,0.33
forced-treatment,patriotism-patriotic-patriot,0.385
forced-treatment,police-brutality,0.406
forced-treatment,religion-religious,0.378
forced-treatment,school-choice,0.345
forced-treatment,scientific,0.448
forced-treatment,social-justice,0.337
forced-treatment,social-responsibility,0.308
forced-treatment,stereotypes,0.371
freedom-of-religion-religious-freedom-religious-liberty,gun-control,0.352
freedom-of-religion-religious-freedom-religious-liberty,gun-rights,0.361
freedom-of-religion-religious-freedom-religious-liberty,gun-violence,0.363
freedom-of-religion-religious-freedom-religious-liberty,inequality-inequity,0.35
freedom-of-religion-religious-freedom-religious-liberty,libertarianism-libertarian-party,0.362
freedom-of-religion-religious-freedom-religious-liberty,marijuana,0.371
freedom-of-religion-religious-freedom-religious-liberty,mental-health,0.383
freedom-of-religion-religious-freedom-religious-liberty,national-defense-national-security,0.369
freedom-of-religion-religious-freedom-religious-liberty,patriotism-patriotic-patriot,0.367
freedom-of-religion-religious-freedom-religious-liberty,police-brutality,0.394
freedom-of-religion-religious-freedom-religious-liberty,religion-religious,0.299
freedom-of-religion-religious-freedom-religious-liberty,school-choice,0.378
freedom-of-religion-religious-freedom-religious-liberty,scientific,0.428
freedom-of-religion-religious-freedom-religious-liberty,social-justice,0.356
freedom-of-religion-religious-freedom-religious-liberty,social-responsibility,0.334
freedom-of-religion-religious-freedom-religious-liberty,stereotypes,0.363
gun-control,gun-rights,0.223
gun-control,gun-violence,0.254
gun-control,inequality-inequity,0.373
gun-control,libertarianism-libertarian-party,0.348
gun-control,marijuana,0.312
gun-control,mental-health,0.346
gun-control,national-defense-national-security,0.35
gun-control,patriotism-patriotic-patriot,0.384
gun-control,police-brutality,0.368
gun-control,religion-religious,0.381
gun-control,school-choice,0.378
gun-control,scientific,0.414
gun-control,social-justice,0.372
gun-control,social-responsibility,0.323
gun-control,stereotypes,0.378
gun-rights,gun-violence,0.347
gun-rights,inequality-inequity,0.413
gun-rights,libertarianism-libertarian-party,0.382
gun-rights,marijuana,0.365
gun-rights,mental-health,0.397
gun-rights,national-defense-national-security,0.399
gun-rights,patriotism-patriotic-patriot,0.409
gun-rights,police-brutality,0.416
gun-rights,religion-religious,0.411
gun-rights,school-choice,0.418
gun-rights,scientific,0.463
