topic,response_type,model1,model2,jsd
abortion,equality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.46
abortion,equality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.399
abortion,equality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.422
abortion,equality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.453
abortion,equality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.508
abortion,equality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.405
abortion,equality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.291
abortion,equality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.452
abortion,equality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.368
abortion,equality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.4
abortion,equality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.525
abortion,equality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.43
abortion,equality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.429
abortion,equality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.336
abortion,equality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.4
abortion,equality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.491
abortion,equality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.395
abortion,equality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.434
abortion,equality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.491
abortion,equality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.532
abortion,equality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.461
abortion,equality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.426
abortion,equality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.561
abortion,equality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.433
abortion,equality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.482
abortion,equality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.389
abortion,equality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.488
abortion,loyalty,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.394
abortion,loyalty,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.479
abortion,loyalty,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.465
abortion,loyalty,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.398
abortion,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.494
abortion,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.432
abortion,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.389
abortion,loyalty,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.285
abortion,loyalty,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.421
abortion,loyalty,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.348
abortion,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.409
abortion,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.365
abortion,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.364
abortion,loyalty,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.421
abortion,loyalty,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.401
abortion,loyalty,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.484
abortion,loyalty,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.408
abortion,loyalty,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.437
abortion,loyalty,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.424
abortion,loyalty,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.471
abortion,loyalty,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.45
abortion,loyalty,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.465
abortion,loyalty,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.522
abortion,loyalty,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.49
abortion,loyalty,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.432
abortion,loyalty,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.347
abortion,loyalty,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.415
abortion,loyalty,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.31
abortion,proportionality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.437
abortion,proportionality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.432
abortion,proportionality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.43
abortion,proportionality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.403
abortion,proportionality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.496
abortion,proportionality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.465
abortion,proportionality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.453
abortion,proportionality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.399
abortion,proportionality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.42
abortion,proportionality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.42
abortion,proportionality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.455
abortion,proportionality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.409
abortion,proportionality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.441
abortion,proportionality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.418
abortion,proportionality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.424
abortion,proportionality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.453
abortion,proportionality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.438
abortion,proportionality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.448
abortion,proportionality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.352
abortion,proportionality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.49
abortion,proportionality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.45
abortion,proportionality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.464
abortion,proportionality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.475
abortion,proportionality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.456
abortion,proportionality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.469
abortion,proportionality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.372
abortion,proportionality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.391
abortion,proportionality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.398
abortion,purity,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.365
abortion,purity,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.323
abortion,purity,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.401
abortion,purity,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.403
abortion,purity,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.406
abortion,purity,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.337
abortion,purity,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.384
abortion,purity,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.33
abortion,purity,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.418
abortion,purity,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.376
abortion,purity,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.369
abortion,purity,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.346
abortion,purity,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.374
abortion,purity,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.428
abortion,purity,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.358
abortion,purity,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.412
abortion,purity,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.374
abortion,purity,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.382
abortion,purity,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.397
abortion,purity,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.444
abortion,purity,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.436
abortion,purity,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.436
abortion,purity,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.37
abortion,purity,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.38
abortion,purity,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.364
abortion,purity,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.313
abortion,purity,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.347
abortion,purity,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.363
acceptance,authority,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.557
acceptance,authority,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.517
acceptance,authority,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.471
acceptance,authority,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.514
acceptance,authority,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.417
acceptance,authority,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.444
acceptance,authority,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.371
acceptance,authority,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.423
acceptance,authority,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.55
acceptance,authority,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.407
acceptance,authority,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.49
acceptance,authority,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.368
acceptance,authority,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.529
acceptance,authority,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.534
acceptance,authority,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.393
acceptance,authority,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.417
acceptance,authority,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.45
acceptance,authority,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.405
acceptance,authority,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.555
acceptance,authority,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.522
acceptance,authority,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.388
acceptance,authority,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.476
acceptance,authority,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.444
acceptance,authority,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.418
acceptance,authority,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.433
acceptance,authority,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.355
acceptance,authority,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.364
acceptance,authority,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.425
acceptance,base,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.358
acceptance,base,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.347
acceptance,base,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.391
acceptance,base,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.425
acceptance,base,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.352
acceptance,base,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.41
acceptance,base,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.296
acceptance,base,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.256
acceptance,base,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.418
acceptance,base,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.303
acceptance,base,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.377
acceptance,base,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.3
acceptance,base,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.284
acceptance,base,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.424
acceptance,base,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.345
acceptance,base,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.373
acceptance,base,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.371
acceptance,base,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.305
acceptance,base,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.489
acceptance,base,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.481
acceptance,base,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.344
acceptance,base,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.432
acceptance,base,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.44
acceptance,base,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.329
acceptance,base,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.359
acceptance,base,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.416
acceptance,base,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.281
acceptance,base,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.312
acceptance,care,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.321
acceptance,care,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.319
acceptance,care,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.338
acceptance,care,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.464
acceptance,care,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.33
acceptance,care,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.386
acceptance,care,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.381
acceptance,care,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.308
acceptance,care,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.383
acceptance,care,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.431
acceptance,care,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.337
acceptance,care,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.399
acceptance,care,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.357
acceptance,care,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.337
acceptance,care,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.456
acceptance,care,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.34
acceptance,care,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.396
acceptance,care,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.38
acceptance,care,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.343
acceptance,care,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.424
acceptance,care,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.442
acceptance,care,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.472
acceptance,care,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.439
acceptance,care,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.402
acceptance,care,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.384
acceptance,care,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.359
acceptance,care,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.383
acceptance,care,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.38
acceptance,equality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.419
acceptance,equality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.461
acceptance,equality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.404
acceptance,equality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.298
acceptance,equality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.552
acceptance,equality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.409
acceptance,equality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.341
acceptance,equality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.39
acceptance,equality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.459
acceptance,equality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.363
acceptance,equality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.501
acceptance,equality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.327
acceptance,equality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.468
acceptance,equality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.359
acceptance,equality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.41
acceptance,equality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.56
acceptance,equality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.389
acceptance,equality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.505
acceptance,equality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.353
acceptance,equality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.613
acceptance,equality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.408
acceptance,equality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.487
acceptance,equality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.52
acceptance,equality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.372
acceptance,equality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.417
acceptance,equality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.423
acceptance,equality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.504
acceptance,equality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.38
acceptance,loyalty,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.46
acceptance,loyalty,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.4
acceptance,loyalty,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.341
acceptance,loyalty,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.446
acceptance,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.537
acceptance,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.426
acceptance,loyalty,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.367
acceptance,loyalty,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.424
acceptance,loyalty,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.472
acceptance,loyalty,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.365
acceptance,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.471
acceptance,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.357
acceptance,loyalty,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.496
